BootstrapIteration,SampledBets,BootstrapProfit,BootstrapROI
619,178,3.679999999999996,0.020674157303370765
620,187,-16.599999999999998,-0.08877005347593582
621,183,-5.450000000000003,-0.02978142076502734
622,183,8.789999999999996,0.04803278688524588
623,180,-13.61,-0.0756111111111111
624,176,-6.510000000000002,-0.03698863636363637
625,172,29.600000000000005,0.172093023255814
626,187,29.27,0.156524064171123
627,179,7.75,0.04329608938547486
628,185,58.64999999999999,0.317027027027027
629,186,19.230000000000004,0.10338709677419357
630,183,37.42,0.2044808743169399
631,200,23.00999999999999,0.11504999999999996
632,190,2.1499999999999986,0.011315789473684203
633,177,23.030000000000005,0.1301129943502825
634,174,0.28999999999999915,0.0016666666666666618
635,188,-10.679999999999993,-0.05680851063829783
636,177,117.1,0.6615819209039547
637,178,9.649999999999995,0.05421348314606739
638,188,8.309999999999999,0.04420212765957446
639,180,7.199999999999996,0.03999999999999997
640,172,38.23,0.2222674418604651
641,181,45.989999999999995,0.2540883977900552
642,191,-3.0500000000000007,-0.01596858638743456
643,177,37.25,0.21045197740112995
644,168,27.04,0.16095238095238096
645,178,57.42,0.32258426966292136
646,177,35.13,0.19847457627118645
647,176,-28.980000000000008,-0.16465909090909095
648,170,-3.95,-0.02323529411764706
649,174,-12.62,-0.0725287356321839
650,179,31.430000000000003,0.17558659217877096
651,174,-9.430000000000001,-0.05419540229885058
652,179,17.520000000000007,0.09787709497206708
653,179,-14.280000000000001,-0.07977653631284917
654,177,-57.48,-0.3247457627118644
655,183,35.63999999999999,0.19475409836065571
656,184,1.4800000000000004,0.008043478260869567
657,187,16.659999999999997,0.08909090909090907
658,187,-8.230000000000008,-0.04401069518716581
659,174,38.63,0.2220114942528736
660,191,-7.529999999999998,-0.039424083769633494
661,191,-16.590000000000007,-0.08685863874345554
662,175,-47.38,-0.2707428571428572
663,194,93.01,0.4794329896907217
664,189,58.18999999999999,0.3078835978835978
665,174,-14.410000000000004,-0.08281609195402301
666,183,-11.490000000000002,-0.06278688524590165
667,183,5.990000000000004,0.03273224043715849
668,193,-6.600000000000002,-0.034196891191709856
669,183,72.02999999999999,0.3936065573770491
670,194,61.78999999999999,0.3185051546391752
