Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,ComparisonLogLoss,PoissonLogLoss,ComparisonModel,LossDifference
2020-21,2021-01-12,Burnley,Man United,2020-21,A,0.5528163593374988,0.32344714204656333,Tuned Logistic Regression,0.2293692172909355
2020-21,2021-01-12,Sheffield United,Newcastle,2020-21,H,0.6024676076865652,0.7813409272641941,Tuned Logistic Regression,-0.17887331957762898
2020-21,2021-01-12,Wolves,Everton,2020-21,A,1.1441896912641483,1.21623615120124,Tuned Logistic Regression,-0.0720464599370918
2020-21,2021-01-13,Man City,Brighton,2020-21,H,0.5251736930992011,0.31513192799716744,Tuned Logistic Regression,0.2100417651020337
2020-21,2021-01-13,Tottenham,Fulham,2020-21,D,2.111630109360575,1.994113572124611,Tuned Logistic Regression,0.11751653723596411
2020-21,2021-01-14,Arsenal,Crystal Palace,2020-21,D,1.5268027431539404,1.6363564920584504,Tuned Logistic Regression,-0.10955374890450997
2020-21,2021-01-16,Fulham,Chelsea,2020-21,A,1.0888530887793832,1.0612991536263139,Tuned Logistic Regression,0.027553935153069364
2020-21,2021-01-16,Leeds,Brighton,2020-21,A,1.527452494748295,1.1191182517000833,Tuned Logistic Regression,0.40833424304821175
2020-21,2021-01-16,Leicester,Southampton,2020-21,H,0.4859849990155306,0.5893896587324464,Tuned Logistic Regression,-0.10340465971691581
2020-21,2021-01-16,West Ham,Burnley,2020-21,H,0.44874424585552064,0.7087871317304213,Tuned Logistic Regression,-0.26004288587490065
2020-21,2021-01-16,Wolves,West Brom,2020-21,A,2.3397000794994454,2.392491743420486,Tuned Logistic Regression,-0.05279166392104084
2020-21,2021-01-17,Liverpool,Man United,2020-21,D,2.175352486685757,1.522888768670569,Tuned Logistic Regression,0.6524637180151882
2020-21,2021-01-17,Man City,Crystal Palace,2020-21,H,0.43323495589413247,0.3671686678611219,Tuned Logistic Regression,0.06606628803301057
2020-21,2021-01-17,Sheffield United,Tottenham,2020-21,A,0.551280992507771,0.5734166592947161,Tuned Logistic Regression,-0.02213566678694512
2020-21,2021-01-18,Arsenal,Newcastle,2020-21,H,0.41102925813102864,0.4941379068537868,Tuned Logistic Regression,-0.08310864872275814
2020-21,2021-01-19,Leicester,Chelsea,2020-21,H,0.4533856020006568,0.5352742624470606,Tuned Logistic Regression,-0.08188866044640375
2020-21,2021-01-19,West Ham,West Brom,2020-21,H,0.3081743455292618,0.37604720229129207,Tuned Logistic Regression,-0.06787285676203025
2020-21,2021-01-20,Fulham,Man United,2020-21,A,0.379328017724973,0.29765678408745905,Tuned Logistic Regression,0.08167123363751394
2020-21,2021-01-20,Man City,Aston Villa,2020-21,H,0.26208503401973043,0.18029926775871657,Tuned Logistic Regression,0.08178576626101386
2020-21,2021-01-21,Liverpool,Burnley,2020-21,A,3.4754490362591133,3.2190195432580135,Tuned Logistic Regression,0.25642949300109974
2020-21,2021-01-23,Aston Villa,Newcastle,2020-21,H,0.7414746911659407,0.5221159483051954,Tuned Logistic Regression,0.2193587428607453
2020-21,2021-01-26,Crystal Palace,West Ham,2020-21,A,1.1889558914536305,1.277251624870962,Tuned Logistic Regression,-0.08829573341733155
2020-21,2021-01-26,Newcastle,Leeds,2020-21,A,1.197250691079151,1.2254025679826162,Tuned Logistic Regression,-0.02815187690346521
2020-21,2021-01-26,Southampton,Arsenal,2020-21,A,1.1930573427116449,1.1157911666478273,Tuned Logistic Regression,0.07726617606381758
2020-21,2021-01-26,West Brom,Man City,2020-21,A,0.29489957765213204,0.32991978419757084,Tuned Logistic Regression,-0.0350202065454388
2020-21,2021-01-27,Brighton,Fulham,2020-21,D,1.973965463595137,1.4741971198085837,Tuned Logistic Regression,0.4997683437865532
2020-21,2021-01-27,Burnley,Aston Villa,2020-21,H,0.8512566020920297,1.0474678823571761,Tuned Logistic Regression,-0.19621128026514645
2020-21,2021-01-27,Chelsea,Wolves,2020-21,D,1.5770888440721318,1.4951237813705338,Tuned Logistic Regression,0.08196506270159798
2020-21,2021-01-27,Everton,Leicester,2020-21,D,0.7280840380501944,1.1551079377663291,Tuned Logistic Regression,-0.42702389971613475
2020-21,2021-01-27,Man United,Sheffield United,2020-21,A,2.8189817350778505,2.6578082489281485,Tuned Logistic Regression,0.16117348614970206
2020-21,2021-01-28,Tottenham,Liverpool,2020-21,A,1.242761444155374,1.229234164994936,Tuned Logistic Regression,0.013527279160437944
