Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,PredictedOutcome,Probability_H,Probability_D,Probability_A
2021-22,2021-12-01,West Ham,Brighton,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-12-01,Wolves,Burnley,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-12-02,Man United,Arsenal,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4135936370209689,0.2386117136659436,0.34779464931308746
2021-22,2021-12-02,Tottenham,Brentford,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-12-04,Newcastle,Burnley,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.31512733967474676,0.21816508131328627,0.46670757901196686
2021-22,2021-12-04,Southampton,Brighton,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-12-04,Watford,Man City,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,1.169456066944239e-12,0.19037656903743427,0.8096234309613962
2021-22,2021-12-04,West Ham,Chelsea,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.18703332726279362,0.25896922236386816,0.5539974503733383
2021-22,2021-12-04,Wolves,Liverpool,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.11662928548542133,0.2085869913489266,0.674783723165652
2021-22,2021-12-05,Aston Villa,Leicester,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-12-05,Leeds,Brentford,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
